SNO,MovieName,Year,Duration,Rating,Meta_score,DirectorName
1,The Shawshank Redemption,1994,142 min,9.3,80,Frank Darabont
2,The Godfather,1972,175 min,9.2,100,Francis Ford Coppola
3,The Dark Knight,2008,152 min,9,84,Christopher
4,The Godfather: Part II,1974,202 min,9,90,Francis Ford Coppola
5,12 Angry Men,1957,96 min,9,96,Sidney Lumet
6,The Lord of the Rings: The Return of the King,2003,201 min,8.9,94,Peter Jackson
7,Pulp Fiction,1994,154 min,8.9,94,Quentin Tarantino
8,Schindler's List,1993,195 min,8.9,94,Steven Spielberg
9,Inception,2010,148 min,8.8,74,Christopher 
10,Fight Club,1999,139 min,8.8,66,David Fincher
11,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,8.8,92,Peter Jackson
12,Forrest Gump,1994,142 min,8.8,82,Robert Zemeckis
13,"Il buono, il brutto, il cattivo",1966,161 min,8.8,90,Sergio Leone
14,The Lord of the Rings: The Two Towers,2002,179 min,8.7,87,Peter Jackson
15,The Matrix,1999,136 min,8.7,73,Lana Wachowski
16,Goodfellas,1990,146 min,8.7,90,Martin Scorsese
17,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,8.7,82,Irvin Kershner
18,One Flew Over the Cuckoo's Nest,1975,133 min,8.7,83,Milos Forman
19,Hamilton,2020,160 min,8.6,90,Thomas Kail
20,Gisaengchung,2019,132 min,8.6,96,Bong Joon Ho
21,Soorarai Pottru,2020,153 min,8.6,,Sudha Kongara
22,Interstellar,2014,169 min,8.6,74,Christopher 
23,Cidade de Deus,2002,130 min,8.6,79,Fernando Meirelles
24,Sen to Chihiro no kamikakushi,2001,125 min,8.6,96,Hayao Miyazaki
25,Saving Private Ryan,1998,169 min,8.6,91,Steven Spielberg
26,The Green Mile,1999,189 min,8.6,61,Frank Darabont
27,La vita è bella,1997,116 min,8.6,59,Roberto Benigni
28,Se7en,1995,127 min,8.6,65,David Fincher
29,The Silence of the Lambs,1991,118 min,8.6,85,Jonathan Demme
30,Star Wars,1977,121 min,8.6,90,George Lucas
31,Seppuku,1962,133 min,8.6,85,Masaki Kobayashi
32,Shichinin no samurai,1954,207 min,8.6,98,Akira Kurosawa
33,It's a Wonderful Life,1946,130 min,8.6,89,Frank Capra
34,Joker,2019,122 min,8.5,59,Todd Phillips
35,Whiplash,2014,106 min,8.5,88,Damien Chazelle
36,The Intouchables,2011,112 min,8.5,57,Olivier Nakache
37,The Prestige,2006,130 min,8.5,66,Christopher 
38,The Departed,2006,151 min,8.5,85,Martin Scorsese
39,The Pianist,2002,150 min,8.5,85,Roman Polanski
40,Gladiator,2000,155 min,8.5,67,Ridley Scott
41,American History X,1998,119 min,8.5,62,Tony Kaye
42,The Usual Suspects,1995,106 min,8.5,77,Bryan Singer
43,Léon,1994,110 min,8.5,64,Luc Besson
44,The Lion King,1994,88 min,8.5,88,Roger Allers
45,Terminator 2: Judgment Day,1991,137 min,8.5,75,James Cameron
46,Nuovo Cinema Paradiso,1988,155 min,8.5,80,Giuseppe Tornatore
47,Hotaru no haka,1988,89 min,8.5,94,Isao Takahata
48,Back to the Future,1985,116 min,8.5,87,Robert Zemeckis
49,Once Upon a Time in the West,1968,165 min,8.5,80,Sergio Leone
50,Psycho,1960,109 min,8.5,97,Alfred Hitchcock
51,Casablanca,1942,102 min,8.5,100,Michael Curtiz
52,Modern Times,1936,87 min,8.5,96,Charles Chaplin
53,City Lights,1931,87 min,8.5,99,Charles Chaplin
54,Capharnaüm,2018,126 min,8.4,75,Nadine Labaki
55,Ayla: The Daughter of War,2017,125 min,8.4,,Can Ulkay
56,Vikram Vedha,2017,147 min,8.4,,Gayatri
57,Kimi no na wa.,2016,106 min,8.4,79,Makoto Shinkai
58,Dangal,2016,161 min,8.4,,Nitesh Tiwari
59,Spider-Man: Into the Spider-Verse,2018,117 min,8.4,87,Bob Persichetti
60,Avengers: Endgame,2019,181 min,8.4,78,Anthony Russo
61,Avengers: Infinity War,2018,149 min,8.4,68,Anthony Russo
62,Coco,2017,105 min,8.4,81,Lee Unkrich
63,Django Unchained,2012,165 min,8.4,81,Quentin Tarantino
64,The Dark Knight Rises,2012,164 min,8.4,78,Christopher 
65,3 Idiots,2009,170 min,8.4,67,Rajkumar Hirani
66,Taare Zameen Par,2007,165 min,8.4,,Aamir Khan
67,WALL·E,2008,98 min,8.4,95,Andrew Stanton
68,The Lives of Others,2006,137 min,8.4,89,Florian Henckel von Donnersmarck
69,Oldeuboi,2003,101 min,8.4,77,Chan-wook Park
70,Memento,2000,113 min,8.4,80,Christopher Nolan
71,Mononoke-hime,1997,134 min,8.4,76,Hayao Miyazaki
72,Once Upon a Time in America,1984,229 min,8.4,,Sergio Leone
73,Raiders of the Lost Ark,1981,115 min,8.4,85,Steven Spielberg
74,The Shining,1980,146 min,8.4,66,Stanley Kubrick
75,Apocalypse Now,1979,147 min,8.4,94,Francis Ford Coppola
76,Alien,1979,117 min,8.4,89,Ridley Scott
77,Anand,1971,122 min,8.4,,Hrishikesh Mukherjee
78,Tengoku to jigoku,1963,143 min,8.4,,Akira Kurosawa
79,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,8.4,97,Stanley Kubrick
