MovieName,Certificate,Star1,Star2,Star3,Star4,Votes,Gross,popularity,Genre
The Shawshank Redemption,A,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,2343110,"2,83,41,469",32.985763,Drama
The Godfather,A,Marlon Brando,Al Pacino,James Caan,Diane Keaton,1620367,"13,49,66,411",28.419936,"Crime, Drama"
The Dark Knight,UA,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,2303232,"53,48,58,444",13.112507,Action
The Godfather: Part II,A,Al Pacino,Robert De Niro,Robert Duvall,Diane Keaton,1129952,"5,73,00,000",11.173104,"Crime, Drama"
12 Angry Men,U,Henry Fonda,Lee J. Cobb,Martin Balsam,John Fiedler,689845,"43,60,000",9.335014,"Crime, Drama"
The Lord of the Rings: The Return of the King,U,Elijah Wood,Viggo Mortensen,Ian McKellen,Orlando Bloom,1642758,"37,78,45,905",9.1107,"Action, Adventure, Drama"
Pulp Fiction,A,John Travolta,Uma Thurman,Samuel L. Jackson,Bruce Willis,1826188,"10,79,28,762",8.654359,"Crime, Drama"
Schindler's List,A,Liam Neeson,Ralph Fiennes,Ben Kingsley,Caroline Goodall,1213505,"9,68,98,818",7.6674,"Biography, Drama, History"
Inception,UA,Leonardo DiCaprio,Joseph Gordon-Levitt,Elliot Page,Ken Watanabe,2067042,"29,25,76,195",7.404165,"Action, Adventure, Sci-Fi"
Fight Club,A,Brad Pitt,Edward Norton,Meat Loaf,Zach Grenier,1854740,"3,70,30,102",6.326804,Drama
The Lord of the Rings: The Fellowship of the Ring,U,Elijah Wood,Ian McKellen,Orlando Bloom,Sean Bean,1661481,"31,55,44,750",6.200282,"Action, Adventure, Drama"
Forrest Gump,UA,Tom Hanks,Robin Wright,Gary Sinise,Sally Field,1809221,"33,02,52,182",6.189369,"Drama, Romance"
"Il buono, il brutto, il cattivo",A,Clint Eastwood,Eli Wallach,Lee Van Cleef,Aldo Giuffrè,688390,"61,00,000",6.118847,Western
The Lord of the Rings: The Two Towers,UA,Elijah Wood,Ian McKellen,Viggo Mortensen,Orlando Bloom,1485555,"34,25,51,365",5.984995,"Action, Adventure, Drama"
The Matrix,A,Lilly Wachowski,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,1676426,"17,14,79,930",5.944927,"Action, Sci-Fi"
Goodfellas,A,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,1020727,"4,68,36,394",5.8984,"Biography, Crime, Drama"
Star Wars: Episode V - The Empire Strikes Back,UA,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,1159315,"29,04,75,067",5.749758,"Action, Adventure, Fantasy"
One Flew Over the Cuckoo's Nest,A,Jack Nicholson,Louise Fletcher,Michael Berryman,Peter Brocco,918088,"11,20,00,000",5.573184,Drama
Hamilton,PG-13,Lin-Manuel Miranda,Phillipa Soo,Leslie Odom Jr.,Renée Elise Goldsberry,55291,0,5.556818,"Biography, Drama, History"
Gisaengchung,A,Kang-ho Song,Lee Sun-kyun,Cho Yeo-jeong,Choi Woo-sik,552778,"5,33,67,844",5.476958,"Comedy, Drama, Thriller"
Soorarai Pottru,U,Suriya,Madhavan,Paresh Rawal,Aparna Balamurali,54995,0,5.462138,Drama
Interstellar,UA,Matthew McConaughey,Anne Hathaway,Jessica Chastain,Mackenzie Foy,1512360,"18,80,20,017",5.337064,"Adventure, Drama, Sci-Fi"
Cidade de Deus,A,Kátia Lund,Alexandre Rodrigues,Leandro Firmino,Matheus Nachtergaele,699256,"75,63,397",4.907832,"Crime, Drama"
Sen to Chihiro no kamikakushi,U,Daveigh Chase,Suzanne Pleshette,Miyu Irino,Rumi Hiiragi,651376,"1,00,55,859",4.710402,"Animation, Adventure, Family"
Saving Private Ryan,R,Tom Hanks,Matt Damon,Tom Sizemore,Edward Burns,1235804,"21,65,40,909",4.648046,"Drama, War"
The Green Mile,A,Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,1147794,"13,68,01,374",4.566713,"Crime, Drama, Fantasy"
La vita è bella,U,Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,623629,"5,75,98,247",4.564549,"Comedy, Drama, Romance"
Se7en,A,Morgan Freeman,Brad Pitt,Kevin Spacey,Andrew Kevin Walker,1445096,"10,01,25,643",4.503789,"Crime, Drama, Mystery"
The Silence of the Lambs,A,Jodie Foster,Anthony Hopkins,Lawrence A. Bonney,Kasi Lemmons,1270197,"13,07,42,922",4.062293,"Crime, Drama, Thriller"
Star Wars,UA,Mark Hamill,Harrison Ford,Carrie Fisher,Alec Guinness,1231473,"32,27,40,140",3.968891,"Action, Adventure, Fantasy"
Seppuku,,Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,42004,0,3.927333,"Action, Drama, Mystery"
Shichinin no samurai,U,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,315744,"2,69,061",3.899557,"Action, Adventure, Drama"
It's a Wonderful Life,PG,James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,405801,0,3.877764,"Drama, Family, Fantasy"
Joker,A,Joaquin Phoenix,Robert De Niro,Zazie Beetz,Frances Conroy,939252,"33,54,51,311",3.64821,"Crime, Drama, Thriller"
Whiplash,A,Miles Teller,J.K. Simmons,Melissa Benoist,Paul Reiser,717585,"1,30,92,000",3.644541,"Drama, Music"
The Intouchables,UA,Éric Toledano,François Cluzet,Omar Sy,Anne Le Ny,760360,"1,31,82,281",3.557846,"Biography, Comedy, Drama"
The Prestige,U,Christian Bale,Hugh Jackman,Scarlett Johansson,Michael Caine,1190259,"5,30,89,891",3.358321,"Drama, Mystery, Sci-Fi"
The Departed,A,Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,1189773,"13,23,84,315",3.339135,"Crime, Drama, Thriller"
The Pianist,R,Adrien Brody,Thomas Kretschmann,Frank Finlay,Emilia Fox,729603,"3,25,72,577",3.23737,"Biography, Drama, Music"
Gladiator,UA,Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,1341460,"18,77,05,427",3.227329,"Action, Adventure, Drama"
American History X,R,Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,1034705,"67,19,864",3.202719,Drama
The Usual Suspects,A,Kevin Spacey,Gabriel Byrne,Chazz Palminteri,Stephen Baldwin,991208,"2,33,41,568",3.080505,"Crime, Mystery, Thriller"
Léon,A,Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,1035236,"1,95,01,238",3.079522,"Action, Crime, Drama"
The Lion King,U,Rob Minkoff,Matthew Broderick,Jeremy Irons,James Earl Jones,942045,"42,27,83,777",3.053421,"Animation, Adventure, Drama"
Terminator 2: Judgment Day,U,Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,995506,"20,48,43,350",3.025852,"Action, Sci-Fi"
Nuovo Cinema Paradiso,U,Philippe Noiret,Enzo Cannavale,Antonella Attili,Isa Danieli,230763,"1,19,90,401",3.023253,"Drama, Romance"
Hotaru no haka,U,Tsutomu Tatsumi,Ayano Shiraishi,Akemi Yamaguchi,Yoshiko Shinohara,235231,0,2.976436,"Animation, Drama, War"
Back to the Future,U,Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,1058081,"21,06,09,762",2.968254,"Adventure, Comedy, Sci-Fi"
Once Upon a Time in the West,U,Henry Fonda,Charles Bronson,Claudia Cardinale,Jason Robards,302844,"53,21,508",2.93234,Western
Psycho,A,Anthony Perkins,Janet Leigh,Vera Miles,John Gavin,604211,"3,20,00,000",2.885126,"Horror, Mystery, Thriller"
Casablanca,U,Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,522093,"10,24,560",2.883233,"Drama, Romance, War"
Modern Times,G,Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,217881,"1,63,245",2.814802,"Comedy, Drama, Family"
City Lights,G,Charles Chaplin,Virginia Cherrill,Florence Lee,Harry Myers,167839,"19,181",2.798017,"Comedy, Drama, Romance"
Capharnaüm,A,Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,Kawsar Al Haddad,62635,"16,61,096",2.793297,Drama
Ayla: The Daughter of War,,Erdem Can,Çetin Tekindor,Ismail Hacioglu,Kyung-jin Lee,34112,0,2.614499,"Biography, Drama, History"
Vikram Vedha,UA,Pushkar,Madhavan,Vijay Sethupathi,Shraddha Srinath,28401,0,2.584264,"Action, Crime, Drama"
Kimi no na wa.,U,Ryûnosuke Kamiki,Mone Kamishiraishi,Ryô Narita,Aoi Yûki,194838,"50,17,246",2.578919,"Animation, Drama, Fantasy"
Dangal,U,Aamir Khan,Sakshi Tanwar,Fatima Sana Shaikh,Sanya Malhotra,156479,"1,23,91,761",2.575711,"Action, Biography, Drama"
Spider-Man: Into the Spider-Verse,U,Peter Ramsey,Rodney Rothman,Shameik Moore,Jake Johnson,375110,"19,02,41,310",2.557859,"Animation, Action, Adventure"
Avengers: Endgame,UA,Joe Russo,Robert Downey Jr.,Chris Evans,Mark Ruffalo,809955,"85,83,73,000",2.550747,"Action, Adventure, Drama"
Avengers: Infinity War,UA,Joe Russo,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,834477,"67,88,15,482",2.487849,"Action, Adventure, Sci-Fi"
Coco,U,Adrian Molina,Anthony Gonzalez,Gael García Bernal,Benjamin Bratt,384171,"20,97,26,015",2.487042,"Animation, Adventure, Family"
Django Unchained,A,Jamie Foxx,Christoph Waltz,Leonardo DiCaprio,Kerry Washington,1357682,"16,28,05,434",2.46449,"Drama, Western"
The Dark Knight Rises,UA,Christian Bale,Tom Hardy,Anne Hathaway,Gary Oldman,1516346,"44,81,39,099",2.404473,Action
3 Idiots,UA,Aamir Khan,Madhavan,Mona Singh,Sharman Joshi,344445,"65,32,908",2.395366,"Comedy, Drama"
Taare Zameen Par,U,Amole Gupte,Darsheel Safary,Aamir Khan,Tisca Chopra,168895,"12,23,869",2.354654,"Drama, Family"
WALL·E,U,Ben Burtt,Elissa Knight,Jeff Garlin,Fred Willard,999790,"22,38,08,164",2.345821,"Animation, Adventure, Family"
The Lives of Others,A,Ulrich Mühe,Martina Gedeck,Sebastian Koch,Ulrich Tukur,358685,"1,12,86,112",2.331636,"Drama, Mystery, Thriller"
Oldeuboi,A,Choi Min-sik,Yoo Ji-Tae,Kang Hye-jeong,Kim Byeong-Ok,515451,"7,07,481",2.331567,"Action, Drama, Mystery"
Memento,UA,Guy Pearce,Carrie-Anne Moss,Joe Pantoliano,Mark Boone Junior,1125712,"2,55,44,867",2.31767,"Mystery, Thriller"
Mononoke-hime,U,Yôji Matsuda,Yuriko Ishida,Yûko Tanaka,Billy Crudup,343171,"23,75,308",2.29573,"Animation, Action, Adventure"
Once Upon a Time in America,A,Robert De Niro,James Woods,Elizabeth McGovern,Treat Williams,311365,"53,21,508",2.28135,"Crime, Drama"
Raiders of the Lost Ark,A,Harrison Ford,Karen Allen,Paul Freeman,John Rhys-Davies,884112,"24,81,59,971",2.272044,Action
The Shining,A,Jack Nicholson,Shelley Duvall,Danny Lloyd,Scatman Crothers,898237,"4,40,17,374",2.234573,"Drama, Horror"
Apocalypse Now,R,Martin Sheen,Marlon Brando,Robert Duvall,Frederic Forrest,606398,"8,34,71,511",2.165433,"Drama, Mystery, War"
Alien,R,Sigourney Weaver,Tom Skerritt,John Hurt,Veronica Cartwright,787806,"7,89,00,000",2.141506,"Horror, Sci-Fi"
Anand,U,Rajesh Khanna,Amitabh Bachchan,Sumita Sanyal,Ramesh Deo,30273,0,2.140199,"Drama, Musical"
Tengoku to jigoku,,Toshirô Mifune,Yutaka Sada,Tatsuya Nakadai,Kyôko Kagawa,34357,0,2.121884,"Crime, Drama, Mystery"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,A,Peter Sellers,George C. Scott,Sterling Hayden,Keenan Wynn,450474,"2,75,902",2.096273,Comedy
Witness for the Prosecution,U,Tyrone Power,Marlene Dietrich,Charles Laughton,Elsa Lanchester,108862,"81,75,000",2.080935,"Crime, Drama, Mystery"
Paths of Glory,A,Kirk Douglas,Ralph Meeker,Adolphe Menjou,George Macready,178092,0,2.070708,"Drama, War"
Rear Window,U,James Stewart,Grace Kelly,Wendell Corey,Thelma Ritter,444074,"3,67,64,313",2.060162,"Mystery, Thriller"
Sunset Blvd.,Passed,William Holden,Gloria Swanson,Erich von Stroheim,Nancy Olson,201632,0,2.055572,"Drama, Film-Noir"
The Great Dictator,Passed,Charles Chaplin,Paulette Goddard,Jack Oakie,Reginald Gardiner,203150,"2,88,475",2.049886,"Comedy, Drama, War"
1917,R,Dean-Charles Chapman,George MacKay,Daniel Mays,Colin Firth,425844,"15,92,27,644",2.026651,"Drama, Thriller, War"
Tumbbad,A,Anand Gandhi,Adesh Prasad,Sohum Shah,Jyoti Malshe,27793,0,2.000338,"Drama, Fantasy, Horror"
Andhadhun,UA,Ayushmann Khurrana,Tabu,Radhika Apte,Anil Dhawan,71875,"13,73,943",1.984529,"Crime, Drama, Music"
Drishyam,U,Mohanlal,Meena,Asha Sharath,Ansiba,30722,0,1.980039,"Crime, Drama, Thriller"
Jagten,R,Mads Mikkelsen,Thomas Bo Larsen,Annika Wedderkopp,Lasse Fogelstrøm,281623,"6,87,185",1.959765,Drama
Jodaeiye Nader az Simin,PG-13,Payman Maadi,Leila Hatami,Sareh Bayat,Shahab Hosseini,220002,"70,98,492",1.95632,Drama
Incendies,R,Lubna Azabal,Mélissa Désormeaux-Poulin,Maxim Gaudette,Mustafa Kamel,150023,"68,57,096",1.926739,"Drama, Mystery, War"
Miracle in cell NO.7,TV-14,Aras Bulut Iynemli,Nisa Sofiya Aksongur,Deniz Baysal,Celile Toyon Uysal,33935,0,1.904898,Drama
