,0
0,98740
1,73964
2,53089
3,740086
4,454203
5,29765
6,41625
7,65659
8,31053
9,740911
10,203177
11,150023
12,246963
13,31142
14,42940
15,194838
16,435950
17,918562
18,253676
19,362942
20,112298
21,57168
22,358432
23,505918
24,37424
25,230763
26,859695
27,201000
28,51913
29,80316
30,131101
31,189716
32,345096
33,177059
34,334312
35,362942
36,161984
37,98431
38,126770
39,124773
40,40403
41,466134
42,70367
43,30273
44,46547
45,55163
46,78991
47,364368
48,490062
49,99643
50,139114
51,1187498
52,43444
53,224730
54,43885
55,410983
56,83363
57,82855
58,659763
59,26518
60,699673
61,246963
62,157498
63,35785
64,99182
65,769145
66,71481
67,113240
68,364368
69,31142
70,661871
71,107290
72,156842
73,86838
74,359809
75,116945
76,358685
77,31053
78,28057
79,37556
80,78991
81,118035
82,40081
83,99643
84,299524
85,99643
86,516372
87,434841
88,411599
89,41544
90,125993
91,505918
92,189400
93,198677
94,281842
95,447368
96,71122
97,93878
98,143525
99,28401
100,49721
